Date,Wages,Industrial Production,Capacity Utilization,Retail Sales,CPI,PCE ex Food & Energy,PPI Fin Goods ex Food & Energy,House Price Index,WTI Crude,Real Pers Income,Personal Saving Rate,Fed Funds,US10Y,Recession
1/1/2007,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Med,Med,Med,0
4/1/2007,Med,Med,Med,Lo,Hi,Med,Med,Lo,Hi,Med,Med,Med,Med,0
7/1/2007,Med,Med,Lo,Med,Med,Med,Med,Lo,Hi,Lo,Lo,Lo,Lo,0
10/1/2007,Med,Med,Med,Med,Hi,Med,Med,Lo,Hi,Lo,Lo,Lo,Lo,0
1/1/2008,Med,Lo,Lo,Lo,Hi,Med,Med,Lo,Hi,Med,Med,Lo,Lo,1
4/1/2008,Med,Lo,Lo,Lo,Hi,Med,Med,Lo,Hi,Lo,Hi,Lo,Med,0
7/1/2008,Med,Lo,Lo,Lo,Hi,Med,Hi,Lo,Lo,Lo,Lo,Lo,Lo,1
10/1/2008,Med,Lo,Lo,Lo,Lo,Lo,Hi,Lo,Lo,Med,Hi,Lo,Lo,1
1/1/2009,Med,Lo,Lo,Lo,Lo,Med,Med,Med,Lo,Lo,Med,Lo,Lo,1
4/1/2009,Med,Lo,Lo,Lo,Med,Med,Med,Lo,Hi,Lo,Med,Lo,Hi,1
7/1/2009,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Lo,Lo,Lo,Med,0
10/1/2009,Med,Med,Med,Lo,Med,Med,Med,Lo,Hi,Med,Med,Lo,Lo,0
1/1/2010,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Med,Med,Med,Med,0
4/1/2010,Med,Med,Med,Med,Lo,Med,Med,Lo,Lo,Med,Med,Med,Lo,0
7/1/2010,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,0
10/1/2010,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Med,Lo,Med,Med,0
1/1/2011,Med,Med,Med,Med,Hi,Med,Med,Lo,Hi,Med,Med,Lo,Hi,1
4/1/2011,Med,Med,Med,Med,Hi,Med,Med,Lo,Hi,Med,Lo,Lo,Lo,0
7/1/2011,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Med,Lo,Lo,1
10/1/2011,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Med,Med,Lo,0
1/1/2012,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Med,Med,Med,Lo,0
4/1/2012,Med,Med,Med,Lo,Med,Med,Med,Lo,Lo,Med,Med,Med,Lo,0
7/1/2012,Med,Lo,Lo,Med,Med,Med,Med,Med,Lo,Lo,Lo,Med,Lo,0
10/1/2012,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Hi,Med,Med,Med,0
1/1/2013,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Lo,Lo,Lo,Med,0
4/1/2013,Med,Med,Med,Lo,Lo,Med,Med,Med,Lo,Med,Med,Lo,Med,0
7/1/2013,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Lo,Lo,Hi,0
10/1/2013,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Med,0
1/1/2014,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,1
4/1/2014,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Lo,0
7/1/2014,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,0
10/1/2014,Med,Med,Med,Med,Lo,Med,Med,Med,Lo,Med,Med,Med,Lo,0
1/1/2015,Med,Lo,Lo,Med,Lo,Med,Med,Med,Lo,Med,Med,Med,Lo,0
4/1/2015,Med,Lo,Lo,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Med,0
7/1/2015,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Med,0
10/1/2015,Med,Lo,Lo,Lo,Lo,Med,Med,Med,Lo,Med,Med,Med,Lo,0
1/1/2016,Med,Lo,Lo,Med,Lo,Med,Med,Med,Lo,Med,Med,Med,Lo,0
4/1/2016,Med,Lo,Lo,Med,Med,Med,Med,Med,Hi,Lo,Lo,Med,Lo,0
7/1/2016,Med,Med,Med,Med,Med,Med,Med,Med,Lo,Med,Lo,Med,Lo,0
10/1/2016,Med,Lo,Lo,Med,Med,Med,Med,Med,Hi,Med,Med,Med,Hi,0
1/1/2017,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Med,Med,Med,0
4/1/2017,Med,Med,Med,Lo,Med,Med,Med,Hi,Lo,Med,Med,Med,Lo,0
7/1/2017,Med,Lo,Lo,Med,Med,Med,Med,Med,Med,Med,Med,Med,Lo,0
10/1/2017,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Lo,Med,Med,0
1/1/2018,Med,Med,Med,Lo,Med,Med,Med,Med,Hi,Med,Med,Med,Med,0
4/1/2018,Med,Med,Med,Med,Med,Med,Med,Med,Hi,Med,Med,Med,Med,0
7/1/2018,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,0
10/1/2018,Med,Med,Lo,Lo,Med,Med,Med,Med,Lo,Med,Med,Med,Med,0
1/1/2019,Med,Lo,Lo,Lo,Med,Med,Med,Med,Lo,Med,Med,Med,Lo,0
