Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,US10-FedFunds,"US10-FedFunds [abs, prior]"
10/01/94,0.00239808,0.00792254,0.01048725,0.00300752,0.02040226,0.01027725,0.02022876,0.01509623,0.03983795,0.03595465,0.02694914,0.04019313,0.00584285,0.00620690,0.00122908,0.00465396,0.00515464,0.00111173,0.00072711,0.01571429,-0.01158416,-0.00081855,-0.04493774,-0.00043437,-0.00020076,0.01145516,0.01081148,0.04113810,0.00659892,0.01264659,0.04477612,2.75000000,-0.01085044,-0.00526377,0.68000000,0.51000000,0.40000000,0.37000000,0.52000000,-0.17000000,2.84000000
01/01/95,-0.00239234,0.00611354,0.00079834,0.00149925,0.01035167,0.00023657,0.02557365,-0.00692666,-0.05454545,0.01134772,0.04218463,0.03914902,0.00734460,0.00774503,-0.00217186,0.00493126,0.00527473,0.00872531,0.00777447,0.02258625,0.02604428,0.00524304,0.04195011,-0.00182513,0.00146299,0.00354789,0.00248853,0.01050367,0.00660971,0.00752898,0.07142857,-3.28000000,0.04132819,0.03907658,0.60000000,-0.36000000,-0.29000000,-0.33000000,-0.32000000,-0.96000000,2.67000000
04/01/95,-0.01438849,0.00694444,0.00462668,-0.00299401,0.00308772,-0.00745033,0.02280618,0.00723889,-0.00618132,-0.00637135,0.03012846,0.03525459,0.00815271,0.00795756,0.00340683,0.00579926,0.00583005,0.00471809,0.00648882,0.01318770,0.00585766,0.01646202,0.05223069,-0.00191554,0.00945261,0.00298323,0.00876639,-0.02077037,0.00668689,0.00539203,-0.09333333,0.20000000,0.07077782,0.07068107,0.25000000,-0.88000000,-0.64000000,-0.66000000,-0.87000000,-1.13000000,1.71000000
07/01/95,0.00243309,0.00862069,0.00000000,0.00000000,0.00965440,-0.00166806,0.01196401,0.00956752,0.02004147,0.02018755,0.02566985,0.03261579,0.00506246,0.00357625,-0.00811091,0.00413956,0.00478192,0.00180011,0.00429799,0.00271500,-0.01873241,0.01539366,-0.07600827,-0.00174474,0.01762152,0.00850734,0.00906309,-0.00595706,0.00671505,0.00909837,-0.01470588,0.28000000,0.03148099,0.03402676,-0.23000000,-0.28000000,-0.21000000,-0.16000000,-0.22000000,-0.05000000,0.58000000
10/01/95,-0.00242718,0.00683761,0.00539940,-0.00150150,0.00803769,-0.00429646,0.00932552,0.00550221,0.02439024,0.02467522,0.01264183,0.03435289,0.00542945,0.00632018,-0.01045926,0.00426973,0.00504759,0.00625000,0.00763195,-0.00191128,0.03036597,0.00768542,0.01454952,-0.00987503,0.00967598,0.00679108,0.00697504,0.02483169,0.00684830,0.01000425,-0.02985075,0.43000000,0.04335722,0.04028712,-0.02000000,-0.42000000,-0.44000000,-0.42000000,-0.36000000,-0.40000000,0.53000000
01/01/96,-0.00973236,0.00764007,0.00616016,0.00000000,0.00701127,-0.00647249,0.00499869,0.00601046,-0.00066138,-0.00703732,0.01847296,0.03000505,0.00891347,0.00801764,0.03228596,0.00557103,0.00387430,0.00908385,0.00212359,-0.00047874,0.05980609,0.01123126,0.08990623,-0.01015004,0.01231738,0.00749041,0.00922304,0.01606211,0.00694837,0.00992992,0.00000000,2.50000000,0.01388477,0.01754130,-0.41000000,0.00000000,0.05000000,0.06000000,-0.07000000,0.41000000,0.13000000
04/01/96,0.01474201,0.00926706,0.00973312,0.00300752,0.02143345,0.00747979,0.00264140,0.01093012,0.00595632,0.03048637,0.01697840,0.02434892,0.00857677,0.00927951,0.03481337,0.00670652,0.00485992,0.00815573,0.00254291,0.00502914,0.02961957,0.00160141,0.09868421,-0.00240749,0.01211295,0.01667927,0.01075769,0.04804908,0.00735531,0.01245587,-0.03076923,0.97000000,-0.02563478,-0.02177546,-0.11000000,0.82000000,0.57000000,0.59000000,0.83000000,0.93000000,0.54000000
07/01/96,0.00484262,0.00918197,0.00357587,0.00149925,0.01296445,-0.00107772,0.00651561,0.00180562,-0.01315789,0.00083963,0.01852732,0.02370297,0.00575448,0.01116438,-0.01169380,0.00434468,0.00455192,0.00358696,0.00211372,-0.00135028,0.00466262,0.00448708,0.02901889,-0.01376475,0.00940726,0.00897008,0.00605499,0.04542560,0.00785182,0.00950547,0.01587302,0.41000000,0.01745611,0.01923359,0.04000000,0.06000000,-0.02000000,0.00000000,0.05000000,0.02000000,1.47000000
10/01/96,0.00000000,0.00909843,0.00092951,0.00299401,0.01372213,-0.00035963,0.00502967,0.00975013,0.00466667,0.02476051,0.02902452,0.01901216,0.00870947,0.01298954,0.02002366,0.00677722,0.00566412,0.00836502,0.00000000,0.00270421,0.02189142,0.00780448,0.10250671,-0.01803516,0.01353877,0.01038437,0.00796426,-0.00132993,0.00832054,0.00851636,-0.04687500,0.43000000,0.04276866,0.04482973,0.00000000,-0.42000000,-0.35000000,-0.36000000,-0.45000000,-0.42000000,1.49000000
01/01/97,0.00240964,0.00983607,-0.00201207,0.00000000,0.01900299,0.00431706,0.00509807,0.01048036,0.01061712,0.00248003,0.02189904,0.01533323,0.00605029,0.00230814,0.02079058,0.00443999,0.00394255,0.00128205,0.00189833,0.00261759,0.00428449,0.00825352,-0.07226959,-0.00553761,0.01367409,0.00645385,0.01054120,0.02018252,0.00876318,0.01288074,-0.01639344,2.71000000,0.00485574,0.00857208,-0.05000000,0.19000000,0.18000000,0.14000000,0.09000000,0.24000000,1.07000000
04/01/97,0.00240385,0.00811688,0.01473325,0.00149254,0.01430579,-0.00107463,0.00956500,-0.00445513,-0.04596192,0.03572737,0.02519358,0.01354790,0.00231786,0.00217489,-0.03907343,0.00242407,0.00518934,-0.00933946,-0.00021053,-0.00735759,-0.08105802,0.00823648,-0.12822757,-0.01197216,0.01125435,0.01665226,0.00450188,0.06137358,0.00914331,0.01109650,0.05000000,0.00000000,0.01041520,0.01163531,0.29000000,0.16000000,0.16000000,0.13000000,0.14000000,-0.13000000,1.31000000
07/01/97,0.00000000,0.01127214,0.00825309,0.00149031,0.02342274,0.00621563,0.01026318,0.01677439,0.04748796,0.03194407,0.01721943,0.01278020,0.00500000,0.00612753,0.00791413,0.00270270,0.00237198,-0.00174865,-0.00070190,-0.00135491,-0.00529248,0.01363204,-0.00602410,0.00432087,0.01562701,0.01248577,0.01703766,0.01389549,0.00955040,0.01498136,-0.07936508,2.53000000,0.04420300,0.04739869,0.02000000,-0.45000000,-0.40000000,-0.43000000,-0.46000000,-0.47000000,1.18000000
10/01/97,0.00479616,0.01194268,0.00469911,0.00000000,0.02534761,0.00653362,0.01122909,-0.00083399,0.01905388,0.01640459,0.02030623,0.01594742,0.00541045,0.00570957,0.00180505,0.00312101,0.00320156,0.00251333,0.00042144,0.00135674,0.05171287,0.01300371,0.00808081,0.00037411,0.01563963,0.00853900,0.01195145,0.01468362,0.00985171,0.01802121,0.03448276,4.64000000,0.03094846,0.03178484,-0.04000000,-0.34000000,-0.29000000,-0.32000000,-0.26000000,-0.30000000,0.71000000
01/01/98,-0.00477327,0.00944138,0.00920338,-0.00148810,0.01128045,-0.00814351,0.01267647,0.00501515,-0.04900064,-0.01900298,0.02596444,0.00777633,0.00204120,0.00630795,-0.05135135,0.00014142,0.00291383,-0.00782496,0.00238714,-0.01036104,-0.10331055,0.01498438,-0.20140281,0.00617053,0.01823935,0.01003697,0.01011616,0.04387551,0.01011844,0.02389516,0.16666667,-5.77000000,0.02919991,0.02656523,0.01000000,-0.32000000,-0.22000000,-0.19000000,-0.16000000,-0.33000000,0.41000000
04/01/98,-0.00719424,0.01013250,0.00508297,-0.00149031,0.00664531,-0.01225607,0.00707635,0.01915091,0.09694915,0.00243406,0.01838846,0.03022417,0.00327160,0.00338494,-0.02117759,0.00169683,0.00304372,-0.00053599,0.00490299,-0.00620118,-0.01910324,0.00894446,-0.08155583,0.00102211,0.01869571,0.00925712,0.01760848,-0.00619283,0.01041860,0.01704758,-0.04285714,0.21000000,0.01634398,0.01583445,-0.04000000,0.00000000,-0.03000000,0.00000000,0.05000000,0.04000000,0.08000000
07/01/98,0.00000000,0.00771605,0.01368437,0.00149254,0.00754450,-0.00915552,0.00481279,-0.00466352,-0.08343634,-0.00529472,0.03114278,0.01640028,0.00516828,0.00518523,-0.00814980,0.00310559,0.00358621,-0.00022983,0.00278804,-0.00591572,-0.05015136,0.01401268,-0.02868852,-0.00027847,0.01693531,0.01258917,0.01304069,0.02597635,0.01058530,0.01249852,-0.04477612,8.22000000,0.02416296,0.01742146,0.07000000,-0.36000000,-0.14000000,-0.13000000,-0.23000000,-0.43000000,0.12000000
10/01/98,0.00000000,0.00842266,0.00763023,0.00149031,0.01392301,-0.00097264,0.00836495,0.02470656,0.10721510,0.01589526,0.03648142,0.01684159,0.00465202,0.00807955,-0.01300988,0.00267380,0.00316108,0.00383142,0.00625565,-0.00684764,-0.01657282,0.01179788,-0.09071730,0.01392758,0.02591298,0.01609212,0.01444700,0.03038712,0.01075585,0.00948736,-0.09375000,-0.21000000,0.02512280,0.01003095,-0.68000000,-0.58000000,-0.16000000,0.11000000,-0.11000000,0.10000000,-0.31000000
01/01/99,-0.00241546,0.00987092,0.01383428,-0.00148810,0.01107778,-0.00194718,0.00677139,0.01495263,-0.00548112,0.03227762,0.00202652,0.02091938,0.00365564,0.00616523,-0.01119921,0.00196491,0.00246609,0.00358779,0.00621676,-0.00656653,-0.02916712,0.01049893,0.01856148,0.00467033,0.01770625,0.00939456,0.01027143,0.02755819,0.01091673,0.00918700,0.01724138,-2.29000000,0.00596968,0.01264693,-0.14000000,0.30000000,0.06000000,0.15000000,0.12000000,0.44000000,-0.21000000
04/01/99,0.00000000,0.00902256,0.00359092,0.00000000,0.00958685,-0.00243873,0.01161653,0.01330343,0.02694427,-0.00936488,0.00749359,0.01890170,0.00752747,0.00287990,0.05211988,0.00574310,0.00355337,0.00608504,0.00041189,0.00991490,0.05741627,0.01337808,0.34016705,0.00419287,0.01457014,0.00834735,0.01531309,0.00050367,0.01099469,0.00264730,-0.23728814,-2.85000000,-0.01069727,-0.00149408,0.02000000,0.55000000,0.51000000,0.33000000,0.30000000,0.53000000,0.23000000
07/01/99,0.00484262,0.00968703,0.00915987,-0.00149031,0.00904364,-0.00195575,0.01052408,0.01388608,0.02206321,0.02875730,0.02218677,0.02304581,0.00741098,0.00342152,0.04153568,0.00543175,0.00367697,0.00982838,0.00185274,0.01472634,0.07366095,0.01415415,0.23059490,-0.00308614,0.01491838,0.01325861,0.01124305,0.02752731,0.01104085,0.00872451,-0.08888889,-1.08000000,-0.01002368,-0.01151013,0.34000000,0.37000000,0.41000000,0.37000000,0.61000000,0.03000000,0.76000000
